district,peer_index,overall_score,environment_score,performance_score,progress_score,additional_credit,num_test_takers,sat_critical_reading_mean,sat_mathematics_mean,sat_writing_mean
1,2.16,40.0,5.0,13.3,21.7,0.0,31.0,391.0,425.0,385.0
1,2.24,47.8,5.2,11.4,31.2,0.0,60.0,394.0,419.0,387.0
1,2.42,84.0,13.5,22.6,38.9,9.0,69.0,418.0,431.0,402.0
1,2.75,90.1,9.8,22.4,45.9,12.0,154.0,314.0,532.0,314.0
1,3.55,67.2,8.1,23.7,35.4,0.0,47.0,568.0,583.0,568.0
1,2.59,72.4,11.1,17.7,42.1,1.5,35.0,411.0,401.0,401.0
1,3.81,60.9,11.4,16.5,33.0,0.0,138.0,630.0,608.0,630.0
2,1.67,76.6,11.1,15.6,49.9,0.0,11.0,405.0,415.0,385.0
2,2.44,83.9,9.7,21.3,43.9,9.0,50.0,422.0,412.0,407.0
2,2.28,84.2,11.8,23.0,43.4,6.0,51.0,382.0,364.0,366.0
2,2.28,85.3,10.2,20.7,52.9,1.5,43.0,397.0,415.0,391.0
2,2.82,90.9,10.2,21.5,47.2,12.0,71.0,424.0,448.0,423.0
2,2.5,66.7,10.8,16.2,38.2,1.5,49.0,405.0,446.0,415.0
2,2.16,64.5,10.6,15.4,34.0,4.5,59.0,381.0,373.0,377.0
2,2.52,58.3,8.3,15.9,34.1,0.0,48.0,411.0,406.0,411.0
2,2.22,86.2,10.7,17.7,51.8,6.0,35.0,409.0,381.0,412.0
2,2.36,43.5,10.4,8.4,24.7,0.0,45.0,421.0,419.0,394.0
2,2.34,62.8,10.1,17.4,35.3,0.0,52.0,401.0,409.0,391.0
2,2.58,63.7,6.4,17.0,37.3,3.0,49.0,395.0,376.0,386.0
2,2.78,65.4,8.1,17.1,34.2,6.0,216.0,465.0,480.0,448.0
2,2.68,62.4,12.6,9.4,40.4,0.0,42.0,484.0,478.0,472.0
2,3.25,71.6,9.3,19.6,42.7,0.0,69.0,495.0,465.0,499.0
2,3.45,74.5,10.0,20.0,44.5,0.0,96.0,523.0,583.0,528.0
2,3.22,74.9,9.3,25.0,37.6,3.0,108.0,561.0,597.0,567.0
2,2.85,76.5,10.4,19.4,40.7,6.0,79.0,475.0,488.0,466.0
2,2.97,81.8,6.1,20.9,48.8,6.0,90.0,454.0,448.0,435.0
2,3.6,80.7,11.5,22.3,46.9,0.0,122.0,555.0,596.0,567.0
2,3.34,76.9,11.9,19.2,42.8,3.0,140.0,512.0,554.0,523.0
2,2.24,54.0,8.1,12.4,27.5,6.0,47.0,369.0,370.0,359.0
2,2.93,49.1,8.3,15.4,25.4,0.0,250.0,446.0,458.0,440.0
2,2.38,58.1,8.2,11.8,33.6,4.5,74.0,419.0,429.0,406.0
2,1.94,51.0,8.0,7.5,35.5,0.0,31.0,379.0,356.0,354.0
2,3.0,96.6,12.9,20.0,57.7,6.0,90.0,465.0,479.0,472.0
2,2.29,53.7,11.6,11.3,29.3,1.5,54.0,367.0,395.0,373.0
2,2.52,70.8,13.5,14.5,42.8,0.0,31.0,418.0,463.0,415.0
2,2.18,51.6,8.4,7.9,32.3,3.0,163.0,381.0,385.0,368.0
2,4.03,72.2,8.9,23.7,39.6,0.0,804.0,674.0,735.0,678.0
2,2.79,57.2,6.4,15.8,33.5,1.5,147.0,451.0,503.0,453.0
2,1.95,89.3,12.8,17.9,57.1,1.5,31.0,371.0,369.0,368.0
2,3.18,74.0,6.4,20.9,43.7,3.0,124.0,465.0,454.0,461.0
2,2.47,42.8,5.7,12.1,20.5,4.5,287.0,411.0,439.0,396.0
2,2.48,58.5,6.2,19.5,28.3,4.5,88.0,420.0,424.0,398.0
2,2.82,73.9,9.6,17.4,43.9,3.0,32.0,415.0,405.0,397.0
2,2.32,93.9,12.3,20.9,51.7,9.0,31.0,345.0,380.0,325.0
2,2.38,70.3,8.4,16.4,39.5,6.0,74.0,390.0,385.0,387.0
2,2.31,55.3,15.0,9.2,31.1,0.0,16.0,404.0,419.0,395.0
2,3.14,90.5,9.4,25.0,53.1,3.0,47.0,416.0,612.0,419.0
2,2.29,72.4,7.6,16.6,43.7,4.5,32.0,343.0,465.0,362.0
2,2.2,80.1,9.9,18.4,44.3,7.5,54.0,372.0,369.0,368.0
2,2.56,63.5,8.3,15.9,31.8,7.5,57.0,468.0,441.0,434.0
2,2.99,73.2,15.0,19.7,38.5,0.0,34.0,513.0,460.0,502.0
2,2.36,32.2,5.4,10.1,13.7,3.0,16.0,400.0,336.0,376.0
2,2.44,79.5,12.5,15.0,40.0,12.0,141.0,355.0,475.0,339.0
2,2.43,50.7,10.4,12.6,26.2,1.5,79.0,425.0,429.0,419.0
2,2.0,68.8,5.9,15.4,44.5,3.0,11.0,429.0,382.0,416.0
2,2.74,92.4,7.5,21.7,48.2,15.0,301.0,419.0,420.0,413.0
2,2.73,58.8,6.2,14.3,36.8,1.5,37.0,433.0,405.0,417.0
2,2.4,55.8,6.1,7.2,38.0,4.5,61.0,393.0,412.0,376.0
2,2.2,36.0,4.3,8.4,23.3,1.5,152.0,378.0,387.0,370.0
2,2.24,41.5,6.6,5.6,29.3,0.0,125.0,370.0,378.0,360.0
2,2.83,61.8,5.4,13.1,35.8,7.5,212.0,427.0,423.0,418.0
2,2.26,72.2,6.7,21.6,37.9,6.0,71.0,399.0,389.0,383.0
3,2.21,48.0,6.8,8.6,29.6,3.0,23.0,406.0,378.0,391.0
3,2.15,67.6,8.0,20.4,33.2,6.0,57.0,364.0,378.0,357.0
3,2.19,74.1,9.4,15.1,42.1,7.5,53.0,374.0,363.0,377.0
3,2.08,60.0,5.0,20.1,31.9,3.0,68.0,376.0,373.0,371.0
3,3.51,74.5,9.3,13.7,48.5,3.0,237.0,573.0,563.0,575.0
3,3.64,79.0,7.4,23.1,48.5,0.0,594.0,558.0,555.0,567.0
3,2.34,62.2,6.8,14.5,39.4,1.5,60.0,407.0,425.0,397.0
3,1.94,56.4,8.2,13.2,32.0,3.0,18.0,410.0,407.0,388.0
3,3.26,61.4,11.2,18.3,31.9,0.0,80.0,481.0,525.0,469.0
3,2.28,54.1,7.9,18.9,27.3,0.0,33.0,414.0,410.0,406.0
4,2.2,55.5,9.7,11.5,31.3,3.0,39.0,390.0,372.0,383.0
4,3.1,60.9,6.4,16.2,38.3,0.0,312.0,485.0,531.0,475.0
4,2.09,82.6,10.5,18.5,46.1,7.5,46.0,360.0,374.0,362.0
4,2.53,72.3,12.9,10.9,47.0,1.5,35.0,362.0,378.0,356.0
4,3.05,70.4,12.5,20.2,37.7,0.0,48.0,451.0,445.0,470.0
4,2.06,32.7,6.0,6.7,20.0,0.0,39.0,380.0,385.0,354.0
4,2.13,50.7,4.3,15.0,29.9,1.5,47.0,369.0,385.0,361.0
